Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,Latitude,Longitude
2015,6,578324,573333,Transport,2 Swanston Street ,Melbourne (CBD),2002,,3,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8178446527, 144.969917495
2015,6,578321,573333,Atrium,2 Swanston Street ,Melbourne (CBD),2002,,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8178446527, 144.969917495
2015,6,578328,573333,Carpark,2 Swanston Street ,Melbourne (CBD),2002,,1,Parking - Commercial Covered,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,,-37.8178446527, 144.969917495
2015,6,578327,573333,Zinc at Fed Sq,2 Swanston Street ,Melbourne (CBD),2002,,1,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8178446527, 144.969917495
2015,6,578326,573333,Deakin Edge,2 Swanston Street ,Melbourne (CBD),2002,,1,"Performances, Conferences, Ceremonies",Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,,-37.8178446527, 144.969917495
2015,6,578325,573333,Yarra Building,2 Swanston Street ,Melbourne (CBD),2002,,4,Unoccupied - Under Renovation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8178446527, 144.969917495
2015,6,110655,110655,Princes Walk Vaults,1-19 Princes Walk,Melbourne (CBD),1880,,1,Entertainment/Recreation - Indoor,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,,-37.8186591949, 144.968934931
2015,6,578320,573333,The Ian Potter Centre: NGV Australia,2 Swanston Street ,Melbourne (CBD),2002,,4,Public Display Area,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8178446527, 144.969917495
2015,6,578319,573333,Alfred Deakin Building,2 Swanston Street ,Melbourne (CBD),2002,,4,"Performances, Conferences, Ceremonies",High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8178446527, 144.969917495
2015,6,578318,573333,East Shard,2 Swanston Street ,Melbourne (CBD),2002,,4,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8178446527, 144.969917495
2015,6,578317,573333,Melbourne Visitor Centre,2 Swanston Street ,Melbourne (CBD),2002,,1,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8178446527, 144.969917495
2015,6,578322,573333,Crossbar,2 Swanston Street ,Melbourne (CBD),2002,,4,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8178446527, 144.969917495
2015,6,578323,573333,Square,2 Swanston Street ,Melbourne (CBD),2002,,1,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8178446527, 144.969917495
2015,11,103992,103992,,516-518 Flinders Street ,Melbourne (CBD),1945,1990,4,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,1,-37.820214019, 144.956985569
2015,11,103993,103993,Waterside Hotel,508-514 Flinders Street ,Melbourne (CBD),1925,,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,-37.8201659954, 144.957150507
2015,11,105293,105293,,25 King Street ,Melbourne (CBD),1887,,3,Office,Low level of accessibility,All entrances have steps,1,0,,-37.8198524021, 144.956992546
2015,11,105294,105294,Melbourne Steamship CO.,27-31 King Street ,Melbourne (CBD),1913,2010,6,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,20,0,-37.8197555926, 144.956948523
2015,11,105295,105295,Stokes Building,33-35 King Street ,Melbourne (CBD),1972,1980,2,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,,-37.8196248979, 144.956888375
2015,11,108971,108971,Holiday Inn on Flinders,561-585 Flinders Lane ,Melbourne (CBD),1990,1997,9,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,1,-37.8202048163, 144.955152428
2015,11,559405,559405,Morgan Place,547-555 Flinders Lane ,Melbourne (CBD),2000,,8,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,-37.8200195216, 144.955837945
2015,11,103957,103957,Katherine Square,517-537 Flinders Lane ,Melbourne (CBD),1990,,5,Office,High level of accessibility,Main Entrance has ramp,3,0,,-37.8198848362, 144.956601684
2015,11,103991,103991,,520-522 Flinders Street ,Melbourne (CBD),1910,,2,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,,-37.8202434568, 144.956883673
2015,11,108972,108972,Pensione Hotel,10-22 Spencer Street,Melbourne (CBD),1880,2006,5,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.820506774, 144.955242123
2015,11,102595,102595,,9-27 Downie Street ,Melbourne (CBD),1953,2003,2,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,,-37.820249534, 144.955520679
2015,11,103989,103989,Aura Apartments,532-536 Flinders Street ,Melbourne (CBD),2013,1981,26,Residential Apartment,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,83,1,-37.8202474563, 144.956436186
2015,11,103988,103988,Flinders Towers,546-548 Flinders Street ,Melbourne (CBD),2005,,13,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,-37.8205099339, 144.956146835
2015,11,103987,103987,Eifel Tower Apartments,550-554 Flinders Street ,Melbourne (CBD),2006,,30,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,-37.8203648011, 144.955979053
2015,11,103986,103986,Flinders Tower,556-560 Flinders Street ,Melbourne (CBD),,,1,Unoccupied - Under Construction,Low level of accessibility,All entrances have steps,1,0,,-37.8206109647, 144.955766539
2015,11,103985,103985,Markilles Hotel,562-564 Flinders Street ,Melbourne (CBD),1915,2009,5,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1,-37.8205693352, 144.955629078
2015,11,103958,103958,,539-545 Flinders Lane ,Melbourne (CBD),1945,1984,2,Equipment Installation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8201629771, 144.956180021
2015,11,103990,103990,,524-528 Flinders Street ,Melbourne (CBD),1945,,2,Public Display Area,Low level of accessibility,All entrances have steps,1,0,,-37.8202759351, 144.956754536
2015,11,103984,103984,Nomads All Nations Backpacker Hotel,566-580 Flinders Street ,Melbourne (CBD),1920,2000,4,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,,-37.8207203389, 144.955346461
2015,12,104825,104825,Highlander Mews,1-9 Highlander Lane ,Melbourne (CBD),1984,,3,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,-37.819924105, 144.958071712
2015,12,105398,105398,,34 King Street ,Melbourne (CBD),1973,,1,Equipment Installation,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,-37.8194303634, 144.957419886
2015,12,105399,105399,,26-32 King Street ,Melbourne (CBD),1911,,4,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,-37.8195293437, 144.957465953
2015,12,105400,105400,,22-24 King Street ,Melbourne (CBD),1890,1988,3,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8196196123, 144.957685218
2015,12,105401,105401,,14-20 King Street ,Melbourne (CBD),1917,1986,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance has ramp,3,0,,-37.8197763452, 144.957714841
2015,12,105402,105402,,8-10 King Street ,Melbourne (CBD),1917,1990,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,-37.8199276173, 144.957637844
2015,12,103955,103955,,475-485 Flinders Lane ,Melbourne (CBD),1988,,4,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8193689148, 144.958100062
2015,12,104824,104824,,11A Highlander Lane ,Melbourne (CBD),1917,,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,-37.8197033437, 144.957970182
2015,12,110091,110091,15W,15-33 William Street,Melbourne (CBD),1967,2003,22,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,105,1,-37.8192157039, 144.959187559
2015,12,103999,103999,The Clarion Gateway Apartments,1-13 William Street,Melbourne (CBD),1967,1997,21,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1,-37.8194328533, 144.959510564
2015,12,103998,103998,,452-470 Flinders Street ,Melbourne (CBD),1993,,20,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,80,1,-37.81946849, 144.958601159
2015,12,103997,103997,Best Western Riverside Apartments,472-482 Flinders Street ,Melbourne (CBD),1990,2000,19,Parking - Commercial Covered,Low level of accessibility,All entrances have steps,1,10,,-37.8197418352, 144.958272131
2015,12,103996,103996,,490 Flinders Street ,Melbourne (CBD),1955,,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,-37.8199515462, 144.957991216
2015,12,103995,103995,,492-500 Flinders Street ,Melbourne (CBD),1975,2000,10,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,-37.8199959933, 144.957828807
2015,12,103956,103956,Highlander Apartments,487-497 Flinders Lane ,Melbourne (CBD),1988,1997,4,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.819379929, 144.957712022
2015,12,103994,103994,,502-504 Flinders Street ,Melbourne (CBD),1911,2006,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,-37.8200561868, 144.957657059
2015,12,104823,104823,RUTHERGLEN HOUSE,11 Highlander Lane ,Melbourne (CBD),1854,1990,3,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,-37.8194831601, 144.957723259
2015,13,108059,108059,Lombard Buildings,13-17 Queen Street,Melbourne (CBD),1890,1990,7,Office,Low level of accessibility,All entrances have steps,1,0,,-37.818464555, 144.961877382
2015,13,110151,110151,Swann House,22-38 William Street,Melbourne (CBD),1922,1989,11,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,15,1,-37.8187765423, 144.959965294
2015,13,108060,108060,,19-35 Queen Street,Melbourne (CBD),1976,,22,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,52,1,-37.8182274901, 144.961779921
2015,13,108058,108058,BENNELONG HOUSE,7-11 Queen Street,Melbourne (CBD),1886,1994,3,Office,Low level of accessibility,All entrances have steps,1,0,,-37.8186186289, 144.961946064
2015,13,108057,108057,,1-5 Queen Street,Melbourne (CBD),1925,1984,3,Retail - Shop,Low level of accessibility,All entrances have steps,1,0,,-37.8187855188, 144.962023808
2015,13,106439,106439,Reed House,8-12 Market Street ,Melbourne (CBD),1961,2008,6,Office,Low level of accessibility,All entrances have steps,1,0,0,-37.8188687281, 144.961184594
2015,13,106435,106435,The Port Apartments,21-31 Market Street ,Melbourne (CBD),1929,2000,12,Residential Apartment,Low level of accessibility,All entrances have steps,1,14,,-37.8186458463, 144.960420586
2015,13,104002,104002,,376-388 Flinders Street ,Melbourne (CBD),1987,,9,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8188462581, 144.961529931
2015,13,104001,104001,Holyman House,390-398 Flinders Street ,Melbourne (CBD),1958,1995,3,Office,Low level of accessibility,All entrances have steps,1,0,,-37.8190149551, 144.961252139
2015,13,104000,104000,Immigration Museum,400-424 Flinders Street ,Melbourne (CBD),1876,1997,3,Public Display Area,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,2,1,-37.8190422132, 144.960359338
2015,13,103954,103954,Tavistock House,381-387 Flinders Lane ,Melbourne (CBD),1850,1997,3,Retail - Shop,Low level of accessibility,All entrances have steps,1,0,,-37.8182509371, 144.96138904
2015,13,106438,106438,Electric House,14-40 Market Street ,Melbourne (CBD),1988,1998,10,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,40,1,-37.8184879642, 144.961133932
2015,13,109438,109438,,11-27 Tavistock Place ,Melbourne (CBD),1910,,2,Equipment Installation,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,-37.8185475248, 144.961525159
2015,14,108115,108115,,20-26 Queen Street,Melbourne (CBD),1922,1987,9,Office,Low level of accessibility,All entrances have steps,1,0,,-37.8181927539, 144.962529863
2015,14,103951,103951,Reid House,341-347 Flinders Lane ,Melbourne (CBD),1909,1998,6,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8178231278, 144.963031342
2015,14,103952,103952,,349-351 Flinders Lane ,Melbourne (CBD),,1999,6,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,-37.8178989485, 144.962854894
2015,14,103953,103953,Labassa House,353-355 Flinders Lane ,Melbourne (CBD),1920,1997,7,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,-37.8178601133, 144.962744505
2015,14,104003,104003,Q2 Tower,2-8 Queen Street,Melbourne (CBD),2008,2012,13,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,10,1,-37.8185871601, 144.962709793
2015,14,104004,104004,,342-348 Flinders Street ,Melbourne (CBD),1956,2005,11,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8184514882, 144.963076263
2015,14,104005,104005,,334-340 Flinders Street ,Melbourne (CBD),1945,,5,Parking - Commercial Covered,Low level of accessibility,All entrances have steps,1,0,,-37.8183893139, 144.963293245
2015,14,104006,104006,Rendezvous Hotel Melbourne,318-332 Flinders Street ,Melbourne (CBD),1913,1997,10,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,4,1,-37.8182001001, 144.963576022
2015,14,104007,104007,Victoria University Of Technology,300-316 Flinders Street ,Melbourne (CBD),1991,,19,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8180537911, 144.964041007
2015,14,108114,108114,Prime Value House,28-38 Queen Street,Melbourne (CBD),1983,1995,12,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8179897281, 144.962437489
2015,14,108116,108116,Alkira House0,18 Queen Street,Melbourne (CBD),1937,1991,10,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,-37.8182959929, 144.962577278
2015,14,108117,108117,Qbe House,10-16 Queen Street,Melbourne (CBD),1972,1998,15,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,10,1,-37.8184110559, 144.962630347
2015,14,103169,103169,Elizabeth Chambers,21-23 Elizabeth Street,Melbourne (CBD),1890,,5,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,,-37.8176508393, 144.964416853
2015,14,103950,103950,The Corporate Clearing House,335-339 Flinders Lane ,Melbourne (CBD),1945,1994,6,Office,Low level of accessibility,All entrances have steps,1,0,,-37.8178476506, 144.963225812
2015,14,104008,104008,The Rocke Tompsitt Building,292-298 Flinders Street ,Melbourne (CBD),1908,2002,6,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8180748913, 144.964353715
2015,14,103167,103167,,11-15 Elizabeth Street,Melbourne (CBD),1963,1988,3,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8178292195, 144.964499582
2015,14,103949,103949,Boydex House,333 Flinders Lane ,Melbourne (CBD),1912,1987,5,Office,Low level of accessibility,All entrances have steps,1,0,,-37.8178176632, 144.963334839
2015,14,103171,103171,Galvin House,27-29 Elizabeth Street,Melbourne (CBD),,,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8175452351, 144.964368437
2015,14,103166,103166,,7-9 Elizabeth Street,Melbourne (CBD),,1992,2,Retail - Shop,Low level of accessibility,All entrances have steps,1,0,,-37.8179318527, 144.964550287
2015,14,103168,103168,Excelsior House,17-19 Elizabeth Street,Melbourne (CBD),1927,1993,7,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,-37.8177153358, 144.964446592
2015,14,103170,103170,South Australia House,25 Elizabeth Street,Melbourne (CBD),1889,,5,Storage,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8175984016, 144.964392584
2015,14,101099,101099,Metro Parking,16-26 Bond Street ,Melbourne (CBD),1986,,8,Parking - Commercial Covered,High level of accessibility,Main Entrance has ramp,3,0,,-37.8181457765, 144.963057478
2015,14,103947,103947,The Sebel Melbourne,317-323 Flinders Lane ,Melbourne (CBD),1991,1995,12,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1,-37.8177147854, 144.963723796
2015,14,103165,103165,Hosies House,1-5 Elizabeth Street,Melbourne (CBD),1956,1987,11,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8180566554, 144.964607953
2015,14,103948,103948,Lane Centre,325-331 Flinders Lane ,Melbourne (CBD),1900,1986,5,Office,Low level of accessibility,All entrances have steps,1,0,,-37.8177582616, 144.963491031
2015,14,103172,103172,,31-39 Elizabeth Street,Melbourne (CBD),1966,1990,13,Commercial Accommodation,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,0,1,-37.8174187767, 144.964331578
2015,14,103946,103946,,313-315 Flinders Lane ,Melbourne (CBD),1950,1988,7,Office,Low level of accessibility,All entrances have steps,1,0,,-37.8176391836, 144.96385074
2015,14,103945,103945,Reliance House,301-311 Flinders Lane ,Melbourne (CBD),1914,1989,6,Educational/Research,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,1,-37.8175550779, 144.964059143
2015,14,103911,103911,,2-4 Mill Place,Melbourne (CBD),1860,2000,3,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,,-37.8177576434, 144.964152951
2015,15,109260,109260,,15-19 Swanston Street ,Melbourne (CBD),1945,1983,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8170970168, 144.966834155
2015,15,104012,104012,YOORALLA,244-248 Flinders Street ,Melbourne (CBD),1945,1998,5,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8174821349, 144.966168939
2015,15,109263,109263,Nicohlas Building,31-41 Swanston Street ,Melbourne (CBD),1926,1992,10,Workshop/Studio,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.816742224, 144.966704086
2015,15,573408,573408,Cae City Centre,17-21 Degraves Street ,Melbourne (CBD),1891,,8,Educational/Research,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,,-37.817296307, 144.965586176
2015,15,109259,109259,,13 Swanston Street ,Melbourne (CBD),1945,,2,Storage,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8171601914, 144.966898914
2015,15,109258,109258,McDonalds,9-11 Swanston Street ,Melbourne (CBD),1991,1995,3,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8172391811, 144.966931598
2015,15,109257,109257,Young  And Jacksons Hotel,1-7 Swanston Street ,Melbourne (CBD),1861,1922,3,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.817356002, 144.967022998
2015,15,104015,104015,,222-224 Flinders Street ,Melbourne (CBD),1856,1990,3,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8174187015, 144.966809119
2015,15,104014,104014,Port Phiillip Arcade,228-236 Flinders Street ,Melbourne (CBD),1961,1987,3,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8172487798, 144.966551699
2015,15,104013,104013,Unilodge on Flinders,238-242 Flinders Street ,Melbourne (CBD),1932,1999,14,Student Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8173321851, 144.966353203
2015,15,109261,109261,Commonwealth Bank,21-25 Swanston Street ,Melbourne (CBD),1926,1990,2,Retail - Shop,Low level of accessibility,All entrances have steps,1,0,,-37.8169819252, 144.966791195
2015,15,103328,103328,River View House,274-282 Flinders Street ,Melbourne (CBD),1968,2014,17,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1,-37.8176364948, 144.96509499
2015,15,109262,109262,,27-29 Swanston Street ,Melbourne (CBD),1945,2012,3,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8168880552, 144.966772438
2015,15,104011,104011,,250-254 Flinders Street ,Melbourne (CBD),,2000,4,Commercial Accommodation,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2,0,,-37.8175203719, 144.965997337
2015,15,103327,103327,ANA Building,28-32 Elizabeth Street,Melbourne (CBD),1938,1999,9,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8172989372, 144.964881634
2015,15,103939,103939,,237-239 Flinders Lane ,Melbourne (CBD),1940,1987,8,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,-37.8168235541, 144.966425504
2015,15,103940,103940,Bible House,241-243 Flinders Lane ,Melbourne (CBD),1898,1993,7,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,-37.8168597409, 144.966302752
2015,15,103941,103941,Ross House,247-251 Flinders Lane ,Melbourne (CBD),1898,1987,5,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,4,1,-37.8169934095, 144.966170656
2015,15,103942,103942,,253-265 Flinders Lane ,Melbourne (CBD),1899,2003,6,Educational/Research,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,22,1,-37.8170629122, 144.965902811
2015,15,103943,103943,The Lane Building,267-275 Flinders Lane ,Melbourne (CBD),1899,1997,6,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,,-37.8171010519, 144.965484392
2015,15,103944,103944,Tomasetti House,277-279 Flinders Lane ,Melbourne (CBD),1853,1989,7,Educational/Research,Low level of accessibility,All entrances have steps,1,0,,-37.8172420138, 144.965297858
2015,15,104009,104009,Citigate Melbourne Hotel,270-272 Flinders Street ,Melbourne (CBD),1977,2002,15,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8176955273, 144.965348402
2015,15,104010,104010,The Empire Apartments,256-268 Flinders Street ,Melbourne (CBD),2006,,14,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.817607806, 144.965626371
2015,15,103326,103326,Carlow House,281-291 Flinders Lane ,Melbourne (CBD),1939,2010,11,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.817190238, 144.964967822
2015,16,104017,104017,,194-196 Flinders Street ,Melbourne (CBD),1891,2010,6,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8167348818, 144.968143288
2015,16,110761,110760,The Chapter House ,197-209 Flinders Lane ,Melbourne (CBD),1891,1996,4,Office,Low level of accessibility,All entrances have steps,1,0,,-37.8167637776, 144.967694595
2015,16,108532,108532,Cavendish House Apartment,27-37 Russell Street,Melbourne (CBD),1920,1995,9,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,-37.815987536, 144.969247787
2015,16,108531,108531,Russel Street Theatre,19-25 Russell Street,Melbourne (CBD),1920,2006,1,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,,-37.8161802377, 144.969246437
2015,16,104931,104931,,7-11 Hosier Lane ,Melbourne (CBD),1900,,3,Hospital/Clinic,Low level of accessibility,All entrances have steps,1,0,1,-37.8163817603, 144.968960163
2015,16,104930,104930,,3-5 Hosier Lane ,Melbourne (CBD),1900,1998,3,Office,Low level of accessibility,All entrances have steps,1,0,,-37.816509184, 144.969018392
2015,16,104020,104020,Forum Theatre,150-162 Flinders Street ,Melbourne (CBD),1929,1996,6,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,-37.8164854057, 144.969386562
2015,16,104018,104018,Flinders Gate,172-192 Flinders Street ,Melbourne (CBD),1891,1988,9,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8166385141, 144.968542898
2015,16,103932,103932,Flinders Lane Apartments,161-163 Flinders Lane ,Melbourne (CBD),1900,1998,7,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,,-37.8160416155, 144.969080241
2015,16,103938,103938,ADELPHI HOTEL,187 Flinders Lane ,Melbourne (CBD),1938,1993,10,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,,-37.816357894, 144.968375104
2015,16,103937,103937,Toronto House,183-185 Flinders Lane ,Melbourne (CBD),1924,1992,6,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,-37.8163179383, 144.968507536
2015,16,103936,103936,179 FLINDERS LANE,179-181 Flinders Lane ,Melbourne (CBD),1911,1989,4,Retail - Showroom,Low level of accessibility,All entrances have steps,1,0,,-37.8162250693, 144.968572295
2015,16,103935,103935,,175-177 Flinders Lane ,Melbourne (CBD),1937,1988,8,Office,Low level of accessibility,All entrances have steps,1,0,,-37.8161864122, 144.968676834
